DATE,TIME,TEMPERATURE,RH,WIND,WINDDIR,RS,PRESSURE,PRECIP
YYYY-MM-DD,HH:MM,C,%,m s-1,deg,W m-2,mbar,mm
2020-01-01,23:50,26.2,79.72,3.004,68.58,0,1017,0
2020-01-02,00:00,26.22,79.16,2.788,69.05,0,1017,0
2020-01-02,00:10,26.36,78.48,3.59,66.89,0,1017,0
2020-01-02,00:20,26.39,78.44,3.227,68.26,0,1017,0
2020-01-02,00:30,26.43,78.63,3.052,69.91,0,1017,0
2020-01-02,00:40,26.41,78.76,3.316,70.18,0,1016,0
2020-01-02,00:50,26.49,78.32,3.566,62.94,0,1016,0
2020-01-02,01:00,26.56,77.56,3.862,66.78,0,1016,0
2020-01-02,01:10,26.46,77.08,3.413,65.67,0,1016,0
2020-01-02,01:20,26.47,77.37,3.005,67.12,0,1016,0
2020-01-02,01:30,26.49,77.84,3.364,67.28,0,1016,0
2020-01-02,01:40,26.43,77.35,4.14,68.96,0,1016,0
2020-01-02,01:50,26.29,77.13,3.427,72.15,0,1016,0
2020-01-02,02:00,26.29,76.71,2.994,64.56,0,1016,0
2020-01-02,02:10,26.42,76.1,3.697,65.22,0,1016,0
2020-01-02,02:20,26.45,76.06,3.404,68.02,0,1016,0
2020-01-02,02:30,26.32,76.47,3.399,66.05,0,1016,0
2020-01-02,02:40,26.34,75.36,3.988,64.89,0,1015,0
2020-01-02,02:50,26.36,74.67,3.921,64.21,0,1015,0
2020-01-02,03:00,26.21,74,3.266,69.16,0,1015,0
2020-01-02,03:10,26.12,73.68,3.545,66.99,0,1015,0
2020-01-02,03:20,26.03,73.67,2.878,72.48,0,1015,0
2020-01-02,03:30,25.91,74.19,2.953,71.81,0,1015,0
2020-01-02,03:40,25.81,74.3,2.505,68.15,0,1015,0
2020-01-02,03:50,25.72,74.22,2.283,66.73,0,1015,0
2020-01-02,04:00,25.59,74.22,2.161,70.78,0,1015,0
2020-01-02,04:10,25.43,74.51,2.06,75.63,0,1015,0
2020-01-02,04:20,25.34,74.61,1.713,77.21,0,1014,0
2020-01-02,04:30,25.28,75.4,1.832,75.91,0,1014,0
2020-01-02,04:40,25.48,75.7,2.033,72.17,0,1014,0
2020-01-02,04:50,25.53,76.19,1.775,68.85,0,1014,0
2020-01-02,05:00,25.62,76.78,2.498,73.18,0,1014,0
2020-01-02,05:10,25.66,77.01,2.057,71.16,0,1014,0
2020-01-02,05:20,25.66,77.41,2.343,71.94,0,1014,0
2020-01-02,05:30,25.72,77.84,2.317,72.59,0,1014,0
2020-01-02,05:40,25.72,78,2.26,69.19,0,1014,0
2020-01-02,05:50,25.81,78.01,2.815,67.75,0,1014,0
2020-01-02,06:00,25.98,77.53,3.254,68.1,0,1015,0
2020-01-02,06:10,25.96,77.63,2.556,66.29,0,1015,0
2020-01-02,06:20,25.91,77.96,2.341,71.87,0,1015,0
2020-01-02,06:30,25.87,77.99,2.752,70.04,0.135,1015,0
2020-01-02,06:40,25.94,77.43,2.725,69.55,1.131,1015,0
2020-01-02,06:50,25.96,77.49,2.623,66.03,5.122,1015,0
2020-01-02,07:00,25.94,77.64,2.398,66.6,15.62,1015,0
2020-01-02,07:10,25.9,77.72,2.296,69.21,22.65,1015,0
2020-01-02,07:20,25.96,77.38,2.499,69.12,44.11,1015,0
2020-01-02,07:30,26.18,76.5,2.495,68.64,83.9,1016,0
2020-01-02,07:40,26.53,74.48,2.785,67.42,131.8,1016,0
2020-01-02,07:50,26.78,72.41,2.604,68.02,158.9,1016,0
2020-01-02,08:00,26.94,72.04,2.434,69.82,179.9,1016,0
2020-01-02,08:10,27.06,71.78,2.819,69.79,213.8,1016,0
2020-01-02,08:20,27.22,71.41,2.782,71.66,239.1,1017,0
2020-01-02,08:30,27.39,70.67,3.093,67.86,279.3,1017,0
2020-01-02,08:40,27.67,70.38,2.787,72.3,331.2,1017,0
2020-01-02,08:50,27.89,69.82,3.227,74.1,366.5,1017,0
2020-01-02,09:00,27.89,68.96,3.912,76.61,361.6,1017,0
2020-01-02,09:10,28.06,67.47,4.341,79.91,447.1,1017,0
2020-01-02,09:20,28.22,67.42,3.822,76.5,409.8,1017,0
2020-01-02,09:30,27.94,68.63,3.512,78.27,352.3,1017,0
2020-01-02,09:40,28.11,68.87,3.463,74.57,358.9,1017,0
2020-01-02,09:50,27.94,69.91,3.5,74.72,354.7,1017,0
2020-01-02,10:00,28.28,69.44,3.804,75.34,497.5,1017,0
2020-01-02,10:10,28.56,68.86,3.436,85.9,511,1017,0
2020-01-02,10:20,28.61,68.75,3.818,73.33,577.2,1017,0
2020-01-02,10:30,28.5,69.16,4.229,79.59,572.6,1017,0
2020-01-02,10:40,29.17,68.06,3.894,73.33,767.8,1017,0
2020-01-02,10:50,29.22,65.47,4.345,64.92,700.6,1017,0
2020-01-02,11:00,29.06,65.67,4.381,71.11,710.9,1017,0
